#Average fold change data from ChIP-seq & RNA-seq across 3 growth stages (logarithmic phase, transition point, stationary phase) on minimal medium. From paper DOI: 10.1128/JB.00411-18 Supplemental file 4 https://jb.asm.org/highwire/filestream/299446/field_highwire_adjunct_files/3/JB.00411-18-sd004.xlsx#
TF	Gene	F_avg	F_sd	F_corrected	Regulation_direct	PS	PS_corrected	kd (units.mol/units.L)
"lrp"	"ybdR"	0.01	0.52	NaN	1	-	-	-
"lrp"	"rnk"	-0.13	0.08	NaN	-1	-	-	-
"lrp"	"rna"	0.11	0.20	NaN	1	-	-	-
"lrp"	"citT"	0.33	0.53	NaN	1	-	-	-
"lrp"	"dpiB"	-0.05	0.15	NaN	-1	-	-	-
"lrp"	"dcuC"	-0.52	0.74	NaN	-1	-	-	-
"lrp"	"pagP"	-0.27	0.11	NaN	-1	-	-	-
"lrp"	"cspE"	-0.11	0.79	NaN	-1	-	-	-
"lrp"	"ybeM_1"	0.19	0.21	NaN	1	-	-	-
"lrp"	"crcB"	-0.23	0.30	NaN	-1	-	-	-
"lrp"	"tatE"	-0.42	0.09	NaN	-1	-	-	-
"lrp"	"lipA"	0.02	0.56	NaN	1	-	-	-
"lrp"	"ybeF"	-0.16	0.67	NaN	-1	-	-	-
"lrp"	"lipB"	-0.46	0.41	NaN	-1	-	-	-
"lrp"	"ybeD"	0.65	1.46	NaN	1	-	-	-
"lrp"	"dacA"	-0.35	0.15	NaN	-1	-	-	-
"lrp"	"rlpA"	-0.23	0.18	NaN	-1	-	-	-
"lrp"	"mrdA"	-0.54	0.55	NaN	-1	-	-	-
"lrp"	"rlmH"	-0.03	1.17	NaN	-1	-	-	-
"lrp"	"cobC"	-0.19	0.70	NaN	-1	-	-	-
"lrp"	"nadD"	-0.05	0.34	NaN	-1	-	-	-
"lrp"	"leuS"	-0.12	0.43	NaN	-1	-	-	-
"lrp"	"ybeL"	0.40	0.12	NaN	1	-	-	-
"lrp"	"ybeR"	0.21	1.56	NaN	1	-	-	-
"lrp"	"ybeQ"	0.13	0.22	NaN	1	-	-	-
"lrp"	"ybeU"	-0.19	0.62	NaN	-1	-	-	-
"lrp"	"hscC"	-0.03	0.87	NaN	-1	-	-	-
"lrp"	"rihA"	0.03	0.12	NaN	1	-	-	-
"lrp"	"gltI"	0.71	0.57	NaN	1	-	-	-
"lrp"	"insH-3"	0.40	0.52	NaN	1	-	-	-
"lrp"	"lnt"	-0.32	0.47	NaN	-1	-	-	-
"lrp"	"ybeX"	-0.04	0.44	NaN	-1	-	-	-
"lrp"	"ybeZ"	0.16	0.20	NaN	1	-	-	-
"lrp"	"miaB"	-0.27	0.51	NaN	-1	-	-	-
"lrp"	"ubiF"	0.40	0.09	NaN	1	-	-	-
"lrp"	"metT"	-0.31	0.60	NaN	-1	-	-	-
"lrp"	"asnB"	0.94	1.32	NaN	1	-	-	-
"lrp"	"umpH"	-0.04	0.24	NaN	-1	-	-	-
"lrp"	"nagC"	-0.51	0.86	NaN	-1	-	-	-
"lrp"	"nagA"	0.15	0.10	NaN	1	-	-	-
"lrp"	"nagB"	0.34	0.38	NaN	1	-	-	-
"lrp"	"nagE"	0.66	0.20	NaN	1	-	-	-
"lrp"	"glnS"	0.11	0.20	NaN	1	-	-	-
"lrp"	"chiP"	-0.57	0.26	NaN	-1	-	-	-
"lrp"	"fur"	0.17	0.80	NaN	1	-	-	-
"lrp"	"uof"	0.13	0.84	NaN	1	-	-	-
"lrp"	"fldA"	0.16	0.40	NaN	1	-	-	-
"lrp"	"ybfE"	-0.10	0.57	NaN	-1	-	-	-
"lrp"	"ybfF"	0.09	0.37	NaN	1	-	-	-
"lrp"	"seqA"	0.17	0.45	NaN	1	-	-	-
"lrp"	"pgm"	-0.19	0.41	NaN	-1	-	-	-
"lrp"	"potE"	0.08	0.11	NaN	1	-	-	-
"lrp"	"kdpE"	-0.07	0.64	NaN	-1	-	-	-
"lrp"	"ybfA"	-0.16	0.23	NaN	-1	-	-	-
"lrp"	"rhsC"	0.04	0.24	NaN	1	-	-	-
"lrp"	"ybgA"	-0.37	1.17	NaN	-1	-	-	-
"lrp"	"phr"	0.02	0.55	NaN	1	-	-	-
"lrp"	"ybgI"	0.32	0.16	NaN	1	-	-	-
"lrp"	"dtpD"	-0.55	1.57	NaN	-1	-	-	-
"lrp"	"ybgJ"	0.33	0.06	NaN	1	-	-	-
"lrp"	"abrB"	-0.57	0.32	NaN	-1	-	-	-
"lrp"	"ybgO"	0.43	0.81	NaN	1	-	-	-
"lrp"	"ybgD"	-0.77	0.00	NaN	-1	-	-	-
"lrp"	"gltA"	-0.07	0.83	NaN	-1	-	-	-
"lrp"	"sdhC"	-0.08	0.27	NaN	-1	-	-	-
"lrp"	"sdhD"	-0.34	0.94	NaN	-1	-	-	-
"lrp"	"sdhA"	-0.35	0.90	NaN	-1	-	-	-
"lrp"	"b0725"	-0.44	0.65	NaN	-1	-	-	-
"lrp"	"sucA"	-0.42	1.21	NaN	-1	-	-	-
"lrp"	"sucB"	-0.25	0.78	NaN	-1	-	-	-
"lrp"	"sucC"	-0.29	0.78	NaN	-1	-	-	-
"lrp"	"mngA"	0.08	1.38	NaN	1	-	-	-
"lrp"	"mngR"	0.05	0.62	NaN	1	-	-	-
"lrp"	"cydA"	-0.18	0.49	NaN	-1	-	-	-
"lrp"	"cydX"	0.35	0.45	NaN	1	-	-	-
"lrp"	"ybgE"	-0.21	0.54	NaN	-1	-	-	-
"lrp"	"ybgC"	0.01	0.80	NaN	1	-	-	-
"lrp"	"tolB"	0.03	0.06	NaN	1	-	-	-
"lrp"	"pal"	-0.25	0.67	NaN	-1	-	-	-
"lrp"	"cpoB"	-0.35	0.28	NaN	-1	-	-	-
"lrp"	"lysT"	-0.30	0.53	NaN	-1	-	-	-
"lrp"	"valT"	-0.41	0.63	NaN	-1	-	-	-
"lrp"	"valZ"	-0.41	0.63	NaN	-1	-	-	-
"lrp"	"nadA"	-0.70	1.14	NaN	-1	-	-	-
"lrp"	"zitB"	0.50	0.47	NaN	1	-	-	-
"lrp"	"ybgS"	-0.58	0.60	NaN	-1	-	-	-
"lrp"	"aroG"	0.74	0.51	NaN	1	-	-	-
"lrp"	"gpmA"	0.12	0.50	NaN	1	-	-	-
"lrp"	"galM"	-0.17	0.46	NaN	-1	-	-	-
"lrp"	"galK"	-0.02	0.46	NaN	-1	-	-	-
"lrp"	"galE"	0.15	0.61	NaN	1	-	-	-
"lrp"	"acrZ"	0.05	1.45	NaN	1	-	-	-
"lrp"	"modA"	0.61	0.72	NaN	1	-	-	-
"lrp"	"ybhA"	-0.06	0.29	NaN	-1	-	-	-
"lrp"	"pgl"	-0.07	0.75	NaN	-1	-	-	-
"lrp"	"ybhH"	-0.38	0.35	NaN	-1	-	-	-
"lrp"	"ybhD"	-0.48	0.31	NaN	-1	-	-	-
"lrp"	"ybhC"	-0.26	0.71	NaN	-1	-	-	-
"lrp"	"ybhB"	-0.09	0.13	NaN	-1	-	-	-
"lrp"	"bioA"	0.69	0.97	NaN	1	-	-	-
"lrp"	"bioB"	-0.21	0.89	NaN	-1	-	-	-
"lrp"	"uvrB"	-0.09	0.40	NaN	-1	-	-	-
"lrp"	"ybhK"	-0.19	0.32	NaN	-1	-	-	-
"lrp"	"moaA"	-0.09	0.28	NaN	-1	-	-	-
"lrp"	"moaB"	-0.46	1.63	NaN	-1	-	-	-
"lrp"	"ybhL"	0.16	0.05	NaN	1	-	-	-
"lrp"	"ybhM"	-0.43	0.46	NaN	-1	-	-	-
"lrp"	"ybhN"	0.12	1.11	NaN	1	-	-	-
"lrp"	"ybhQ"	-0.02	1.02	NaN	-1	-	-	-
"lrp"	"ybhF"	-0.16	0.91	NaN	-1	-	-	-
"lrp"	"ybhG"	-0.24	0.86	NaN	-1	-	-	-
"lrp"	"cecR"	0.24	0.20	NaN	1	-	-	-
"lrp"	"rhlE"	-0.57	0.49	NaN	-1	-	-	-
"lrp"	"ybiA"	-0.04	0.33	NaN	-1	-	-	-
"lrp"	"dinG"	-0.08	0.25	NaN	-1	-	-	-
"lrp"	"ybiB"	0.32	0.13	NaN	1	-	-	-
"lrp"	"ybiC"	0.39	0.32	NaN	1	-	-	-
"lrp"	"ybiI"	0.20	0.44	NaN	1	-	-	-
"lrp"	"ybiX"	0.28	0.23	NaN	1	-	-	-
"lrp"	"fiu"	0.47	0.33	NaN	1	-	-	-
"lrp"	"mcbA"	0.20	0.34	NaN	1	-	-	-
"lrp"	"rlmF"	-0.03	0.17	NaN	-1	-	-	-
"lrp"	"ybiO"	-0.33	0.71	NaN	-1	-	-	-
"lrp"	"glnQ"	0.77	1.58	NaN	1	-	-	-
"lrp"	"glnH"	1.02	1.46	NaN	1	-	-	-
"lrp"	"dps"	0.60	0.84	NaN	1	-	-	-
"lrp"	"ompX"	-0.31	0.57	NaN	-1	-	-	-
"lrp"	"rhtA"	0.33	0.71	NaN	1	-	-	-
"lrp"	"opgE"	0.06	0.53	NaN	1	-	-	-
"lrp"	"rybA"	1.12	1.15	NaN	1	-	-	-
"lrp"	"mntR"	0.43	0.79	NaN	1	-	-	-
"lrp"	"ldtB"	0.00	0.41	NaN	1	-	-	-
"lrp"	"ybiT"	-0.51	0.60	NaN	-1	-	-	-
"lrp"	"ybiU"	-0.43	0.68	NaN	-1	-	-	-
"lrp"	"ybiV"	-0.15	0.53	NaN	-1	-	-	-
"lrp"	"ybiW"	-0.17	0.33	NaN	-1	-	-	-
"lrp"	"fsaA"	0.16	0.48	NaN	1	-	-	-
"lrp"	"moeA"	0.09	0.44	NaN	1	-	-	-
"lrp"	"iaaA"	0.16	0.57	NaN	1	-	-	-
"lrp"	"pdeI"	-1.38	0.38	NaN	-1	-	-	-
"lrp"	"rimO"	-0.89	0.73	NaN	-1	-	-	-
"lrp"	"bssR"	0.05	0.49	NaN	1	-	-	-
"lrp"	"yliI"	-0.22	0.67	NaN	-1	-	-	-
"lrp"	"gstB"	0.39	0.20	NaN	1	-	-	-
"lrp"	"dacC"	0.14	0.16	NaN	1	-	-	-
"lrp"	"deoR"	-0.15	0.47	NaN	-1	-	-	-
"lrp"	"ybjG"	0.27	0.49	NaN	1	-	-	-
"lrp"	"mdfA"	0.46	0.66	NaN	1	-	-	-
"lrp"	"rybB"	1.27	0.65	NaN	1	-	-	-
"lrp"	"ybjM"	0.18	0.67	NaN	1	-	-	-
"lrp"	"ybjL"	0.10	0.06	NaN	1	-	-	-
"lrp"	"grxA"	0.16	1.05	NaN	1	-	-	-
"lrp"	"ybjC"	0.15	0.49	NaN	1	-	-	-
"lrp"	"rimK"	-0.17	0.10	NaN	-1	-	-	-
"lrp"	"ybjN"	-0.40	0.26	NaN	-1	-	-	-
"lrp"	"potF"	1.28	0.28	NaN	1	-	-	-
"lrp"	"ybjO"	-0.03	0.22	NaN	-1	-	-	-
"lrp"	"artJ"	-0.78	3.47	NaN	-1	-	-	-
"lrp"	"artI"	-1.81	1.31	NaN	-1	-	-	-
"lrp"	"artP"	-1.69	0.94	NaN	-1	-	-	-
"lrp"	"ybjQ"	0.14	0.36	NaN	1	-	-	-
"lrp"	"ybjP"	0.13	0.30	NaN	1	-	-	-
"lrp"	"ybjS"	-0.98	0.62	NaN	-1	-	-	-
"lrp"	"ltaE"	-0.10	0.21	NaN	-1	-	-	-
"lrp"	"poxB"	0.33	0.71	NaN	1	-	-	-
"lrp"	"hcr"	-0.62	0.10	NaN	-1	-	-	-
"lrp"	"hcp"	-0.19	0.59	NaN	-1	-	-	-
"lrp"	"lysO"	-0.83	0.65	NaN	-1	-	-	-
"lrp"	"aqpZ"	0.33	0.24	NaN	1	-	-	-
"lrp"	"ybjX"	0.58	0.92	NaN	1	-	-	-
"lrp"	"macB"	-0.15	0.41	NaN	-1	-	-	-
"lrp"	"clpS"	0.34	0.70	NaN	1	-	-	-
"lrp"	"cspD"	0.27	0.32	NaN	1	-	-	-
"lrp"	"clpA"	0.61	0.36	NaN	1	-	-	-
"lrp"	"serW"	0.46	0.65	NaN	1	-	-	-
"lrp"	"infA"	-0.63	0.49	NaN	-1	-	-	-
"lrp"	"aat"	-0.20	0.39	NaN	-1	-	-	-
"lrp"	"cydC"	-0.83	0.88	NaN	-1	-	-	-
"lrp"	"cydD"	-0.57	0.66	NaN	-1	-	-	-
"lrp"	"trxB"	-0.16	0.52	NaN	-1	-	-	-
"lrp"	"ftsK"	-1.37	1.20	NaN	-1	-	-	-
"lrp"	"lolA"	-0.63	0.23	NaN	-1	-	-	-
"lrp"	"rarA"	-1.03	0.88	NaN	-1	-	-	-
"lrp"	"serS"	-0.30	0.26	NaN	-1	-	-	-
"lrp"	"dmsA"	-0.59	1.10	NaN	-1	-	-	-
"lrp"	"dmsB"	-0.62	1.11	NaN	-1	-	-	-
"lrp"	"ycaD"	0.42	0.65	NaN	1	-	-	-
"lrp"	"ycaM"	-0.90	0.73	NaN	-1	-	-	-
"lrp"	"ycaK"	0.13	0.19	NaN	1	-	-	-
"lrp"	"pflA"	0.09	0.11	NaN	1	-	-	-
"lrp"	"pflB"	0.08	0.48	NaN	1	-	-	-
"lrp"	"focA"	0.01	0.38	NaN	1	-	-	-
"lrp"	"serC"	0.16	0.77	NaN	1	-	-	-
"lrp"	"aroA"	-0.15	1.11	NaN	-1	-	-	-
"lrp"	"ycaL"	-0.35	0.21	NaN	-1	-	-	-
"lrp"	"cmk"	-0.10	0.17	NaN	-1	-	-	-
"lrp"	"rpsA"	-0.54	1.10	NaN	-1	-	-	-
"lrp"	"ihfB"	0.04	0.62	NaN	1	-	-	-
"lrp"	"ycaI"	0.01	0.29	NaN	1	-	-	-
"lrp"	"msbA"	-0.50	0.42	NaN	-1	-	-	-
"lrp"	"ycaR"	0.68	0.29	NaN	1	-	-	-
"lrp"	"ycbJ"	0.17	0.27	NaN	1	-	-	-
"lrp"	"cmoM"	-0.16	0.70	NaN	-1	-	-	-
"lrp"	"mukB"	-0.60	0.56	NaN	-1	-	-	-
"lrp"	"ldtD"	0.29	0.30	NaN	1	-	-	-
"lrp"	"ycbK"	0.13	0.79	NaN	1	-	-	-
"lrp"	"gloC"	0.06	0.24	NaN	1	-	-	-
"lrp"	"aspC"	1.06	0.52	NaN	1	-	-	-
"lrp"	"ompF"	0.07	0.44	NaN	1	-	-	-
"lrp"	"asnS"	-0.39	0.35	NaN	-1	-	-	-
"lrp"	"pncB"	-0.73	0.38	NaN	-1	-	-	-
"lrp"	"pepN"	-0.16	0.53	NaN	-1	-	-	-
"lrp"	"ssuB"	-0.03	0.18	NaN	-1	-	-	-
"lrp"	"ssuE"	0.22	0.59	NaN	1	-	-	-
"lrp"	"elfA"	-0.55	1.07	NaN	-1	-	-	-
"lrp"	"elfD"	-0.69	0.00	NaN	-1	-	-	-
"lrp"	"pyrD"	-0.47	0.51	NaN	-1	-	-	-
"lrp"	"zapC"	-0.16	0.40	NaN	-1	-	-	-
"lrp"	"rlmL"	0.01	0.16	NaN	1	-	-	-
"lrp"	"pqiA"	0.17	0.22	NaN	1	-	-	-
"lrp"	"rmf"	-0.51	0.27	NaN	-1	-	-	-
"lrp"	"fabA"	0.20	0.28	NaN	1	-	-	-
"lrp"	"ycbZ"	-0.19	0.48	NaN	-1	-	-	-
"lrp"	"matP"	0.46	0.34	NaN	1	-	-	-
"lrp"	"ompA"	-0.14	0.90	NaN	-1	-	-	-
"lrp"	"sulA"	0.10	0.70	NaN	1	-	-	-
"lrp"	"sxy"	0.24	0.24	NaN	1	-	-	-
"lrp"	"yccS"	-0.47	0.36	NaN	-1	-	-	-
"lrp"	"yccF"	-0.45	0.42	NaN	-1	-	-	-
"lrp"	"helD"	0.10	0.10	NaN	1	-	-	-
"lrp"	"mgsA"	0.19	0.49	NaN	1	-	-	-
"lrp"	"yccT"	0.48	0.17	NaN	1	-	-	-
"lrp"	"yccU"	0.43	0.15	NaN	1	-	-	-
"lrp"	"hspQ"	0.02	0.55	NaN	1	-	-	-
"lrp"	"yccX"	0.48	0.34	NaN	1	-	-	-
"lrp"	"rlmI"	-0.16	0.16	NaN	-1	-	-	-
"lrp"	"tusE"	0.01	0.50	NaN	1	-	-	-
"lrp"	"yccA"	0.06	0.34	NaN	1	-	-	-
"lrp"	"serT"	0.74	0.74	NaN	1	-	-	-
"lrp"	"hyaA"	0.72	1.02	NaN	1	-	-	-
"lrp"	"appC"	1.10	0.15	NaN	1	-	-	-
"lrp"	"appA"	0.58	0.53	NaN	1	-	-	-
"lrp"	"etk"	-0.34	0.14	NaN	-1	-	-	-
"lrp"	"gfcD"	-0.12	0.43	NaN	-1	-	-	-
"lrp"	"gfcA"	-0.23	0.34	NaN	-1	-	-	-
"lrp"	"cspG"	0.75	2.61	NaN	1	-	-	-
"lrp"	"ymcE"	1.14	2.22	NaN	1	-	-	-
"lrp"	"yccM"	0.15	0.67	NaN	1	-	-	-
"lrp"	"torS"	-0.14	0.29	NaN	-1	-	-	-
"lrp"	"torT"	0.19	0.82	NaN	1	-	-	-
"lrp"	"torR"	0.01	0.43	NaN	1	-	-	-
"lrp"	"torC"	0.44	0.55	NaN	1	-	-	-
"lrp"	"cbpA"	0.27	0.07	NaN	1	-	-	-
"lrp"	"agp"	0.17	0.38	NaN	1	-	-	-
"lrp"	"wrbA"	0.20	0.76	NaN	1	-	-	-
"lrp"	"rutG"	1.61	2.27	NaN	1	-	-	-
"lrp"	"rutA"	4.11	5.26	NaN	1	-	-	-
"lrp"	"rutR"	0.06	0.63	NaN	1	-	-	-
"lrp"	"putA"	-0.27	1.20	NaN	-1	-	-	-
"lrp"	"putP"	0.09	0.66	NaN	1	-	-	-
"lrp"	"efeU_1"	-0.57	0.10	NaN	-1	-	-	-
"lrp"	"efeO"	0.14	0.41	NaN	1	-	-	-
"lrp"	"phoH"	1.38	1.39	NaN	1	-	-	-
"lrp"	"pgaA"	-0.62	0.10	NaN	-1	-	-	-
"lrp"	"dgcT"	-0.37	0.66	NaN	-1	-	-	-
"lrp"	"ycdU"	-0.39	1.27	NaN	-1	-	-	-
"lrp"	"serX"	0.46	0.65	NaN	1	-	-	-
"lrp"	"ghrA"	-0.02	0.16	NaN	-1	-	-	-
"lrp"	"ycdX"	-0.30	0.15	NaN	-1	-	-	-
"lrp"	"ycdY"	-0.14	0.23	NaN	-1	-	-	-
"lrp"	"ycdZ"	-0.34	0.37	NaN	-1	-	-	-
"lrp"	"csgG"	-0.79	0.42	NaN	-1	-	-	-
"lrp"	"csgD"	-0.09	0.30	NaN	-1	-	-	-
"lrp"	"csgB"	0.16	0.72	NaN	1	-	-	-
"lrp"	"ymdA"	0.00	0.89	NaN	-1	-	-	-
"lrp"	"ymdB"	0.28	0.22	NaN	1	-	-	-
"lrp"	"clsC"	0.10	0.48	NaN	1	-	-	-
"lrp"	"opgG"	-0.44	1.07	NaN	-1	-	-	-
"lrp"	"opgH"	-0.64	1.31	NaN	-1	-	-	-
"lrp"	"msyB"	0.01	0.53	NaN	1	-	-	-
"lrp"	"mdtG"	-0.09	0.47	NaN	-1	-	-	-
"lrp"	"lpxL"	-0.10	0.10	NaN	-1	-	-	-
"lrp"	"yceA"	-0.23	0.38	NaN	-1	-	-	-
"lrp"	"yceI"	-0.59	0.95	NaN	-1	-	-	-
"lrp"	"yceJ"	-0.05	1.28	NaN	-1	-	-	-
"lrp"	"yceO"	-2.06	0.00	NaN	-1	-	-	-
"lrp"	"solA"	0.32	0.32	NaN	1	-	-	-
"lrp"	"bssS"	0.81	1.30	NaN	1	-	-	-
"lrp"	"dinI"	-0.16	0.91	NaN	-1	-	-	-
"lrp"	"pyrC"	-0.57	0.54	NaN	-1	-	-	-
"lrp"	"yceB"	-0.10	0.68	NaN	-1	-	-	-
"lrp"	"grxB"	-0.32	0.58	NaN	-1	-	-	-
"lrp"	"mdtH"	-0.06	0.91	NaN	-1	-	-	-
"lrp"	"rimJ"	0.42	0.47	NaN	1	-	-	-
"lrp"	"yceH"	0.56	0.31	NaN	1	-	-	-
"lrp"	"yceM"	0.32	0.23	NaN	1	-	-	-
"lrp"	"murJ"	-0.49	0.20	NaN	-1	-	-	-
"lrp"	"flgN"	0.15	0.50	NaN	1	-	-	-
"lrp"	"flgM"	0.42	1.05	NaN	1	-	-	-
"lrp"	"flgA"	0.20	0.84	NaN	1	-	-	-
"lrp"	"flgB"	-0.97	0.00	NaN	-1	-	-	-
"lrp"	"flgE"	0.08	0.54	NaN	1	-	-	-
"lrp"	"flgJ"	-0.70	0.37	NaN	-1	-	-	-
"lrp"	"flgK"	0.33	0.56	NaN	1	-	-	-
"lrp"	"yceQ"	1.50	0.00	NaN	1	-	-	-
"lrp"	"rne"	-0.40	0.78	NaN	-1	-	-	-
"lrp"	"sraB"	-0.56	0.23	NaN	-1	-	-	-
"lrp"	"yceD"	-0.63	0.37	NaN	-1	-	-	-
"lrp"	"yceF"	0.06	0.11	NaN	1	-	-	-
"lrp"	"rpmF"	-0.57	0.90	NaN	-1	-	-	-
"lrp"	"plsX"	-0.48	0.53	NaN	-1	-	-	-
"lrp"	"fabH"	0.05	0.37	NaN	1	-	-	-
"lrp"	"fabD"	-0.08	0.31	NaN	-1	-	-	-
"lrp"	"fabG"	-0.32	0.40	NaN	-1	-	-	-
"lrp"	"acpP"	-0.19	0.13	NaN	-1	-	-	-
"lrp"	"fabF"	-0.14	0.33	NaN	-1	-	-	-
"lrp"	"pabC"	0.30	0.48	NaN	1	-	-	-
"lrp"	"tmk"	-0.17	0.13	NaN	-1	-	-	-
"lrp"	"ycfH"	-0.01	0.41	NaN	-1	-	-	-
"lrp"	"ptsG"	-0.32	0.75	NaN	-1	-	-	-
"lrp"	"fhuE"	0.44	0.37	NaN	1	-	-	-
"lrp"	"hinT"	0.12	0.13	NaN	1	-	-	-
"lrp"	"nagZ"	0.23	0.22	NaN	1	-	-	-
"lrp"	"ycfP"	0.44	0.12	NaN	1	-	-	-
"lrp"	"ndh"	0.31	0.34	NaN	1	-	-	-
"lrp"	"ycfJ"	0.65	1.24	NaN	1	-	-	-
"lrp"	"comR"	0.24	0.20	NaN	1	-	-	-
"lrp"	"bhsA"	1.13	0.67	NaN	1	-	-	-
"lrp"	"ldtC"	-0.50	0.48	NaN	-1	-	-	-
"lrp"	"mfd"	-0.48	0.83	NaN	-1	-	-	-
"lrp"	"ycfT"	0.00	1.38	NaN	-1	-	-	-
"lrp"	"lolC"	-0.32	0.09	NaN	-1	-	-	-
"lrp"	"lolD"	-0.71	1.17	NaN	-1	-	-	-
"lrp"	"lolE"	-0.17	0.27	NaN	-1	-	-	-
"lrp"	"nagK"	-0.02	0.10	NaN	-1	-	-	-
"lrp"	"ycfZ"	0.06	0.35	NaN	1	-	-	-
"lrp"	"potD"	-0.74	1.05	NaN	-1	-	-	-
"lrp"	"pepT"	0.20	0.05	NaN	1	-	-	-
"lrp"	"roxA"	0.16	0.14	NaN	1	-	-	-
"lrp"	"phoQ"	-0.07	0.51	NaN	-1	-	-	-
"lrp"	"phoP"	0.25	0.02	NaN	1	-	-	-
"lrp"	"hflD"	-0.84	0.58	NaN	-1	-	-	-
"lrp"	"mnmA"	-0.30	0.53	NaN	-1	-	-	-
"lrp"	"nudJ"	0.17	0.36	NaN	1	-	-	-
"lrp"	"icd"	0.08	0.50	NaN	1	-	-	-
"lrp"	"ymfD"	-0.30	0.67	NaN	-1	-	-	-
"lrp"	"lit"	-0.77	0.41	NaN	-1	-	-	-
"lrp"	"intE"	-0.07	0.26	NaN	-1	-	-	-
"lrp"	"ymfI"	-0.19	0.12	NaN	-1	-	-	-
"lrp"	"ymfJ"	-0.21	0.43	NaN	-1	-	-	-
"lrp"	"ymfT"	0.24	0.75	NaN	1	-	-	-
"lrp"	"ymfK"	-0.25	0.55	NaN	-1	-	-	-
"lrp"	"tfaE"	0.34	0.83	NaN	1	-	-	-
"lrp"	"mcrA"	-0.28	0.31	NaN	-1	-	-	-
"lrp"	"iraM"	-0.56	0.00	NaN	-1	-	-	-
"lrp"	"ycgX"	1.10	1.64	NaN	1	-	-	-
"lrp"	"bluR"	-0.11	0.33	NaN	-1	-	-	-
"lrp"	"bluF"	-0.12	0.43	NaN	-1	-	-	-
"lrp"	"ycgZ"	0.77	1.10	NaN	1	-	-	-
"lrp"	"pdeG"	-0.23	0.38	NaN	-1	-	-	-
"lrp"	"ymgF"	-1.25	0.55	NaN	-1	-	-	-
"lrp"	"ymgD"	-0.16	0.58	NaN	-1	-	-	-
"lrp"	"minE"	-0.30	0.25	NaN	-1	-	-	-
"lrp"	"minD"	-0.28	0.37	NaN	-1	-	-	-
"lrp"	"minC"	-0.12	0.25	NaN	-1	-	-	-
"lrp"	"ycgJ"	-0.35	0.29	NaN	-1	-	-	-
"lrp"	"pliG"	-0.38	0.91	NaN	-1	-	-	-
"lrp"	"ycgL"	0.16	0.63	NaN	1	-	-	-
"lrp"	"ycgN"	0.02	0.20	NaN	1	-	-	-
"lrp"	"hlyE"	-0.67	0.69	NaN	-1	-	-	-
"lrp"	"umuD"	0.02	0.05	NaN	1	-	-	-
"lrp"	"dsbB"	0.20	0.57	NaN	1	-	-	-
"lrp"	"nhaB"	-0.20	0.15	NaN	-1	-	-	-
"lrp"	"fadR"	0.01	0.48	NaN	1	-	-	-
"lrp"	"ycgB"	0.77	0.16	NaN	1	-	-	-
"lrp"	"dadA"	-1.22	1.30	NaN	-1	-	-	-
"lrp"	"cvrA"	-0.11	0.41	NaN	-1	-	-	-
"lrp"	"ldcA"	0.36	0.55	NaN	1	-	-	-
"lrp"	"emtA"	0.33	0.58	NaN	1	-	-	-
"lrp"	"ymgE"	0.41	0.47	NaN	1	-	-	-
"lrp"	"ycgR"	0.41	0.21	NaN	1	-	-	-
"lrp"	"ycgY"	0.29	0.51	NaN	1	-	-	-
"lrp"	"treA"	-0.21	1.09	NaN	-1	-	-	-
"lrp"	"dhaM"	-0.49	1.14	NaN	-1	-	-	-
"lrp"	"dhaL"	-0.13	0.96	NaN	-1	-	-	-
"lrp"	"dhaK"	-0.61	1.09	NaN	-1	-	-	-
"lrp"	"dhaR"	-0.41	0.28	NaN	-1	-	-	-
"lrp"	"ycgV"	-0.10	0.18	NaN	-1	-	-	-
"lrp"	"ychF"	-0.05	0.02	NaN	-1	-	-	-
"lrp"	"pth"	0.11	0.25	NaN	1	-	-	-
"lrp"	"ychH"	0.22	0.30	NaN	1	-	-	-
"lrp"	"dauA"	-0.05	0.05	NaN	-1	-	-	-
"lrp"	"prs"	-0.44	0.53	NaN	-1	-	-	-
"lrp"	"lolB"	0.06	0.27	NaN	1	-	-	-
"lrp"	"hemA"	0.05	0.27	NaN	1	-	-	-
"lrp"	"prfA"	-0.42	0.37	NaN	-1	-	-	-
"lrp"	"ychQ"	0.13	1.02	NaN	1	-	-	-
"lrp"	"ychA"	0.35	0.65	NaN	1	-	-	-
"lrp"	"kdsA"	0.16	0.38	NaN	1	-	-	-
"lrp"	"rdlA"	0.78	0.23	NaN	1	-	-	-
"lrp"	"ldrA"	-0.18	1.22	NaN	-1	-	-	-
"lrp"	"rdlB"	0.78	0.67	NaN	1	-	-	-
"lrp"	"ldrB"	-0.13	0.59	NaN	-1	-	-	-
"lrp"	"rdlC"	0.41	0.82	NaN	1	-	-	-
"lrp"	"ldrC"	-0.18	1.22	NaN	-1	-	-	-
"lrp"	"chaB"	0.63	0.12	NaN	1	-	-	-
"lrp"	"chaC"	0.82	0.87	NaN	1	-	-	-
"lrp"	"ychN"	0.00	0.65	NaN	1	-	-	-
"lrp"	"ychO"	-0.01	0.44	NaN	-1	-	-	-
"lrp"	"narX"	-0.23	0.20	NaN	-1	-	-	-
"lrp"	"narK"	0.11	1.18	NaN	1	-	-	-
"lrp"	"narG"	-0.44	0.86	NaN	-1	-	-	-
"lrp"	"tyrT"	0.48	0.72	NaN	1	-	-	-
