#Average fold change data from ChIP-seq & RNA-seq across 3 growth stages (logarithmic phase, transition point, stationary phase) on minimal medium. From paper DOI: 10.1128/JB.00411-18 Supplemental file 4 https://jb.asm.org/highwire/filestream/299446/field_highwire_adjunct_files/3/JB.00411-18-sd004.xlsx#
TF	Gene	F_avg	F_sd	F_corrected	Regulation_direct	PS	PS_corrected	kd (units.mol/units.L)
"lrp"	"yadD"	0.52	0.45	NaN	1	-	-	-
"lrp"	"panC"	0.00	0.21	NaN	-1	-	-	-
"lrp"	"panB"	0.25	0.13	NaN	1	-	-	-
"lrp"	"htrE"	0.86	0.50	NaN	1	-	-	-
"lrp"	"yadV"	0.23	0.79	NaN	1	-	-	-
"lrp"	"yadN"	-0.14	0.00	NaN	-1	-	-	-
"lrp"	"pcnB"	-0.61	0.62	NaN	-1	-	-	-
"lrp"	"gluQ"	-0.29	0.36	NaN	-1	-	-	-
"lrp"	"dksA"	-0.10	0.30	NaN	-1	-	-	-
"lrp"	"sfsA"	0.16	0.33	NaN	1	-	-	-
"lrp"	"hrpB"	-0.03	0.27	NaN	-1	-	-	-
"lrp"	"mrcB"	-0.06	0.49	NaN	-1	-	-	-
"lrp"	"fhuA"	0.24	0.27	NaN	1	-	-	-
"lrp"	"fhuC"	0.34	0.30	NaN	1	-	-	-
"lrp"	"hemL"	0.18	0.07	NaN	1	-	-	-
"lrp"	"clcA"	0.04	0.23	NaN	1	-	-	-
"lrp"	"erpA"	0.95	1.24	NaN	1	-	-	-
"lrp"	"yadS"	-0.71	0.10	NaN	-1	-	-	-
"lrp"	"btuF"	-0.55	0.73	NaN	-1	-	-	-
"lrp"	"mtn"	0.15	0.25	NaN	1	-	-	-
"lrp"	"dgt"	0.06	0.31	NaN	1	-	-	-
"lrp"	"degP"	0.31	0.81	NaN	1	-	-	-
"lrp"	"cdaR"	-0.12	0.49	NaN	-1	-	-	-
"lrp"	"yaeH"	0.35	0.22	NaN	1	-	-	-
"lrp"	"dapD"	-0.74	0.79	NaN	-1	-	-	-
"lrp"	"glnD"	-0.05	0.33	NaN	-1	-	-	-
"lrp"	"map"	0.25	0.47	NaN	1	-	-	-
"lrp"	"tff"	-0.91	0.21	NaN	-1	-	-	-
"lrp"	"rpsB"	-0.46	0.64	NaN	-1	-	-	-
"lrp"	"tsf"	-0.17	0.53	NaN	-1	-	-	-
"lrp"	"pyrH"	0.17	0.27	NaN	1	-	-	-
"lrp"	"frr"	0.28	0.33	NaN	1	-	-	-
"lrp"	"dxr"	-0.03	0.25	NaN	-1	-	-	-
"lrp"	"ispU"	-0.12	0.20	NaN	-1	-	-	-
"lrp"	"cdsA"	0.13	0.26	NaN	1	-	-	-
"lrp"	"rseP"	-0.03	0.17	NaN	-1	-	-	-
"lrp"	"bamA"	-0.06	0.30	NaN	-1	-	-	-
"lrp"	"skp"	0.24	0.23	NaN	1	-	-	-
"lrp"	"lpxD"	-0.13	0.16	NaN	-1	-	-	-
"lrp"	"fabZ"	0.02	0.28	NaN	1	-	-	-
"lrp"	"lpxA"	0.07	0.12	NaN	1	-	-	-
"lrp"	"accA"	0.11	0.40	NaN	1	-	-	-
"lrp"	"ldcC"	0.24	0.58	NaN	1	-	-	-
"lrp"	"yaeR"	0.03	0.31	NaN	1	-	-	-
"lrp"	"tilS"	-0.17	0.25	NaN	-1	-	-	-
"lrp"	"yaeQ"	0.16	0.56	NaN	1	-	-	-
"lrp"	"rof"	0.35	0.11	NaN	1	-	-	-
"lrp"	"yaeP"	0.43	0.04	NaN	1	-	-	-
"lrp"	"nlpE"	0.08	0.06	NaN	1	-	-	-
"lrp"	"yaeF"	-0.11	0.80	NaN	-1	-	-	-
"lrp"	"proS"	-0.25	0.53	NaN	-1	-	-	-
"lrp"	"trmO"	-0.40	0.28	NaN	-1	-	-	-
"lrp"	"rcsF"	0.03	1.09	NaN	1	-	-	-
"lrp"	"metQ"	-0.05	0.39	NaN	-1	-	-	-
"lrp"	"metI"	-0.39	0.58	NaN	-1	-	-	-
"lrp"	"metN"	-0.46	0.65	NaN	-1	-	-	-
"lrp"	"gmhB"	0.19	0.39	NaN	1	-	-	-
"lrp"	"rrsH"	1.46	0.00	NaN	1	-	-	-
"lrp"	"aspU"	0.15	0.34	NaN	1	-	-	-
"lrp"	"dkgB"	0.72	0.55	NaN	1	-	-	-
"lrp"	"yafC"	0.19	0.24	NaN	1	-	-	-
"lrp"	"yafD"	0.11	0.39	NaN	1	-	-	-
"lrp"	"mltD"	-0.90	0.53	NaN	-1	-	-	-
"lrp"	"yafS"	0.55	0.32	NaN	1	-	-	-
"lrp"	"gloB"	0.06	0.41	NaN	1	-	-	-
"lrp"	"dnaQ"	0.18	0.23	NaN	1	-	-	-
"lrp"	"rnhA"	0.21	0.85	NaN	1	-	-	-
"lrp"	"aspV"	0.15	0.34	NaN	1	-	-	-
"lrp"	"yafT"	0.29	0.52	NaN	1	-	-	-
"lrp"	"yafV"	0.33	0.12	NaN	1	-	-	-
"lrp"	"ivy"	0.03	0.02	NaN	1	-	-	-
"lrp"	"fadE"	0.80	0.13	NaN	1	-	-	-
"lrp"	"lpcA"	0.17	0.16	NaN	1	-	-	-
"lrp"	"yafJ"	0.01	0.44	NaN	1	-	-	-
"lrp"	"yafK"	-0.28	0.27	NaN	-1	-	-	-
"lrp"	"yafQ"	-0.06	0.44	NaN	-1	-	-	-
"lrp"	"dinJ"	0.16	0.50	NaN	1	-	-	-
"lrp"	"yafL"	0.26	0.19	NaN	1	-	-	-
"lrp"	"rayT"	0.03	0.33	NaN	1	-	-	-
"lrp"	"dinB"	0.14	0.26	NaN	1	-	-	-
"lrp"	"yafN"	0.17	0.30	NaN	1	-	-	-
"lrp"	"pepD"	-0.42	0.76	NaN	-1	-	-	-
"lrp"	"gpt"	0.16	0.69	NaN	1	-	-	-
"lrp"	"frsA"	0.22	0.06	NaN	1	-	-	-
"lrp"	"crl"	0.28	0.71	NaN	1	-	-	-
"lrp"	"phoE"	-0.47	1.24	NaN	-1	-	-	-
"lrp"	"proB"	-0.23	0.26	NaN	-1	-	-	-
"lrp"	"proA"	-0.17	0.37	NaN	-1	-	-	-
"lrp"	"thrW"	-0.05	0.69	NaN	-1	-	-	-
"lrp"	"ykfI"	0.43	1.52	NaN	1	-	-	-
